Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Dic 2011;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;1,2
Dic 2011;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,5
Dic 2011;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,8
Dic 2011;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,8
Dic 2011;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,4
Ene 2012;Benceno;Suburbana;Noroeste;Casa de Campo;1,0
Ene 2012;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;1,4
Ene 2012;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,8
Ene 2012;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;1,0
Ene 2012;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,9
Ene 2012;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,4
Feb 2012;Benceno;Suburbana;Noroeste;Casa de Campo;0,7
Feb 2012;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,7
Feb 2012;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,5
Feb 2012;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,4
Feb 2012;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,3
Feb 2012;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,0
Mar 2012;Benceno;Suburbana;Noroeste;Casa de Campo;0,6
Mar 2012;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,5
Mar 2012;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Mar 2012;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,3
Mar 2012;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,0
Mar 2012;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,6
Abr 2012;Benceno;Suburbana;Noroeste;Casa de Campo;0,4
Abr 2012;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,3
Abr 2012;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Abr 2012;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,2
Abr 2012;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,7
Abr 2012;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,1
May 2012;Benceno;Suburbana;Noroeste;Casa de Campo;0,5
May 2012;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,3
May 2012;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
May 2012;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,3
May 2012;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,8
May 2012;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,3
Jun 2012;Benceno;Suburbana;Noroeste;Casa de Campo;0,5
Jun 2012;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,3
Jun 2012;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Jun 2012;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,2
Jun 2012;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,8
Jun 2012;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,5
Jul 2012;Benceno;Suburbana;Noroeste;Casa de Campo;0,5
Jul 2012;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,3
Jul 2012;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Jul 2012;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,2
Jul 2012;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,9
Jul 2012;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,4
Ago 2012;Benceno;Suburbana;Noroeste;Casa de Campo;0,6
Ago 2012;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,6
Ago 2012;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Ago 2012;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,3
Ago 2012;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,9
Ago 2012;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,3
Sep 2012;Benceno;Suburbana;Noroeste;Casa de Campo;0,6
Sep 2012;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,4
Sep 2012;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,3
Sep 2012;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,6
Sep 2012;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,0
Sep 2012;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,5
Oct 2012;Benceno;Suburbana;Noroeste;Casa de Campo;0,5
Oct 2012;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,6
Oct 2012;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,7
Oct 2012;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,9
Oct 2012;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,4
Oct 2012;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,3
Nov 2012;Benceno;Suburbana;Noroeste;Casa de Campo;0,6
Nov 2012;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,6
Nov 2012;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,4
Nov 2012;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,9
Nov 2012;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,3
Nov 2012;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,0
Dic 2012;Benceno;Suburbana;Noroeste;Casa de Campo;0,8
Dic 2012;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;1,0
Dic 2012;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,5
Dic 2012;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;1,1
Dic 2012;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,7
Dic 2012;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,7
Ene 2013;Benceno;Suburbana;Noroeste;Casa de Campo;0,7
Ene 2013;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,7
Ene 2013;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,5
Ene 2013;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;1,1
Ene 2013;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,7
Ene 2013;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,5
Feb 2013;Benceno;Suburbana;Noroeste;Casa de Campo;0,7
Feb 2013;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,5
Feb 2013;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,4
Feb 2013;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,9
Feb 2013;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,5
Feb 2013;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,4
Mar 2013;Benceno;Suburbana;Noroeste;Casa de Campo;0,6
Mar 2013;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,3
Mar 2013;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Mar 2013;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,6
Mar 2013;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,3
Mar 2013;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,7
Abr 2013;Benceno;Suburbana;Noroeste;Casa de Campo;0,4
Abr 2013;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,3
Abr 2013;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Abr 2013;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,5
Abr 2013;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,3
Abr 2013;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,4
May 2013;Benceno;Suburbana;Noroeste;Casa de Campo;0,4
May 2013;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,2
May 2013;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
May 2013;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,5
May 2013;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,2
May 2013;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,3
Jun 2013;Benceno;Suburbana;Noroeste;Casa de Campo;0,4
Jun 2013;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,2
Jun 2013;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Jun 2013;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,4
Jun 2013;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,3
Jun 2013;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,2
Jul 2013;Benceno;Suburbana;Noroeste;Casa de Campo;0,6
Jul 2013;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,2
Jul 2013;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Jul 2013;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,5
Jul 2013;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,3
Jul 2013;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,4
Ago 2013;Benceno;Suburbana;Noroeste;Casa de Campo;0,6
Ago 2013;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,2
Ago 2013;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Ago 2013;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,4
Ago 2013;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,2
Ago 2013;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,2
Sep 2013;Benceno;Suburbana;Noroeste;Casa de Campo;0,5
Sep 2013;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,3
Sep 2013;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,3
Sep 2013;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,6
Sep 2013;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,4
Sep 2013;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,8
Oct 2013;Benceno;Suburbana;Noroeste;Casa de Campo;0,6
Oct 2013;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,5
Oct 2013;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,4
Oct 2013;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,7
Oct 2013;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,8
Oct 2013;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,1
Nov 2013;Benceno;Suburbana;Noroeste;Casa de Campo;
Nov 2013;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,5
Nov 2013;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,4
Nov 2013;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,8
Nov 2013;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,7
Nov 2013;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,0
Dic 2013;Benceno;Suburbana;Noroeste;Casa de Campo;0,2
Dic 2013;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,9
Dic 2013;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,8
Dic 2013;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;1,3
Dic 2013;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,0
Dic 2013;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,5
Ene 2014;Benceno;Suburbana;Noroeste;Casa de Campo;0,1
Ene 2014;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,7
Ene 2014;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,4
Ene 2014;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,8
Ene 2014;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,8
Ene 2014;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,1
Feb 2014;Benceno;Suburbana;Noroeste;Casa de Campo;0,3
Feb 2014;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,6
Feb 2014;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,3
Feb 2014;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,6
Feb 2014;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,7
Feb 2014;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,0
Mar 2014;Benceno;Suburbana;Noroeste;Casa de Campo;0,2
Mar 2014;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,4
Mar 2014;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,3
Mar 2014;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,6
Mar 2014;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,7
Mar 2014;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,9
