Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Oct 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;16
Oct 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Oct 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;12
Oct 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;17
Oct 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;16
Oct 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;8
Oct 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Nov 2011;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;11
Nov 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;13
Nov 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Nov 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;11
Nov 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;15
Nov 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;15
Nov 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;8
Nov 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Dic 2011;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;12
Dic 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;15
Dic 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Dic 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;12
Dic 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;16
Dic 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;17
Dic 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;9
Dic 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Ene 2012;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;13
Ene 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;17
Ene 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Ene 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;12
Ene 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;18
Ene 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;17
Ene 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;8
Ene 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Feb 2012;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;9
Feb 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;12
Feb 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Feb 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;10
Feb 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;13
Feb 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;12
Feb 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;7
Feb 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Mar 2012;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;10
Mar 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;12
Mar 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Mar 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;10
Mar 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;13
Mar 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;13
Mar 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;6
