Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Ene 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;10
Ene 2011;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;17
Feb 2011;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;6
Feb 2011;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;17
Feb 2011;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;9
Feb 2011;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;10
Feb 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;10
Feb 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;10
Feb 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;10
Feb 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;13
Feb 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;12
Feb 2011;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;12
Mar 2011;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;5
Mar 2011;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;11
Mar 2011;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;8
Mar 2011;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;8
Mar 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;8
Mar 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;8
Mar 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;3
Mar 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;7
Mar 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;9
Mar 2011;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;16
Abr 2011;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;5
Abr 2011;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;9
Abr 2011;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;9
Abr 2011;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;7
Abr 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;7
Abr 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;8
Abr 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;3
Abr 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;3
Abr 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;7
Abr 2011;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;9
May 2011;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;5
May 2011;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;8
May 2011;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;8
May 2011;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;6
May 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;6
May 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;6
May 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;5
May 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;3
May 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;6
May 2011;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;7
Jun 2011;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;5
Jun 2011;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;8
Jun 2011;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;8
Jun 2011;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;6
Jun 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;5
Jun 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;6
Jun 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;6
Jun 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;4
Jun 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;6
Jun 2011;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;7
Jul 2011;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;5
Jul 2011;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;7
Jul 2011;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;7
