_id,Mes,Magnitud,Tipo_Estacion,Estacion,Zona,Concentraciones_medias_mensuales,Muertes_hombre,Muertes_mujer,Muertes_totales,Total_Concentraciones_medias_mensuales,Indice_Calidad_Aire_CAQI,Indice_Calidad_Aire_Europeo
6742081cd13b2ab272855a7a,01/06/2012,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,24,161,166,327,32.5,Muy Bueno,Bueno
6742081cd13b2ab272855a84,01/06/2012,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,22,40,28,68,29.666666666666668,Muy Bueno,Bueno
6742081cd13b2ab272855a92,01/07/2012,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,28,152,174,326,34.6,Muy Bueno,Bueno
6742081cd13b2ab272855a9a,01/07/2012,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,20,13,13,26,26,Muy Bueno,Bueno
6742081cd13b2ab272855a9c,01/07/2012,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,23,37,29,66,32,Muy Bueno,Bueno
6742081cd13b2ab272855aaa,01/08/2012,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,30,157,167,324,33.4,Muy Bueno,Bueno
6742081cd13b2ab272855ab4,01/08/2012,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,24,39,28,67,33.333333333333336,Muy Bueno,Bueno
6742081cd13b2ab272855ac0,01/09/2012,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,21,11,10,21,17,Muy Bueno,Bueno
6742081cd13b2ab272855ac2,01/09/2012,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,36,150,151,301,39.3,Muy Bueno,Bueno
6742081cd13b2ab272855aca,01/09/2012,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,25,13,12,25,30.333333333333332,Muy Bueno,Bueno
6742081cd13b2ab272855ad7,01/10/2012,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,30,9,8,17,41.833333333333336,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855ae4,01/10/2012,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,40,38,28,66,50.333333333333336,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855aef,01/11/2012,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,22,9,8,17,36.333333333333336,Muy Bueno,Bueno
6742081cd13b2ab272855af0,01/11/2012,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,26,12,12,24,19.5,Muy Bueno,Bueno
6742081cd13b2ab272855af2,01/11/2012,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,39,166,178,344,45.3,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855afa,01/11/2012,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,34,15,14,29,39.666666666666664,Muy Bueno,Bueno
6742081cd13b2ab272855afc,01/11/2012,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,40,41,30,71,47.333333333333336,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855b07,01/12/2012,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,27,10,10,20,46.5,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855b08,01/12/2012,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,32,13,14,27,26.5,Muy Bueno,Bueno
6742081cd13b2ab272855b0a,01/12/2012,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,45,176,205,381,54.6,Bueno,Razonablemente bueno
6742081cd13b2ab272855b12,01/12/2012,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,42,16,16,32,51,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855b14,01/12/2012,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,50,43,35,78,57.333333333333336,Bueno,Razonablemente bueno
