_id;Mes;Magnitud;Tipo_Estacion;Estacion;Zona;Concentraciones_medias_mensuales;Muertes_hombre;Muertes_mujer;Muertes_totales;Total_Concentraciones_medias_mensuales;Indice_Calidad_Aire_CAQI;Indice_Calidad_Aire_Europeo;Umbrales_oms
6742081cd13b2ab27285682e;2014-06-01;Ozono;Urbana de Fondo;Farolillo;Sur;79;39;26;65;67.33333333;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856833;2014-07-01;Ozono;Suburbana;Juan Carlos I;Norte;76;7;11;18;81.75;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856834;2014-07-01;Ozono;Suburbana;Casa de Campo;Oeste;89;11;12;23;87;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856841;2014-08-01;Ozono;Suburbana;Juan Carlos I;Norte;70;7;11;18;75.75;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856842;2014-08-01;Ozono;Suburbana;Casa de Campo;Oeste;84;10;12;22;81;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856844;2014-08-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;76;149;156;305;68.75;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856849;2014-08-01;Ozono;Urbana de Fondo;Ensanche de Vallecas;Este;74;16;13;29;74;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab27285684a;2014-08-01;Ozono;Urbana de Fondo;Farolillo;Sur;74;36;26;62;63.66666667;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856852;2014-09-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;60;145;149;294;50.25;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab27285686e;2014-11-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;29;168;163;331;28.75;Muy Bueno;Bueno;Normal
6742081cd13b2ab27285687c;2014-12-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;14;190;182;372;17.25;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856895;2015-02-01;Ozono;Suburbana;Juan Carlos I;Norte;65;12;14;26;51.75;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856898;2015-02-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;37;207;239;446;42.5;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728568a6;2015-03-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;34;190;208;398;41.25;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728568b1;2015-04-01;Ozono;Suburbana;Juan Carlos I;Norte;79;9;11;20;67.25;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab2728568b2;2015-04-01;Ozono;Suburbana;Casa de Campo;Oeste;67;13;16;29;69.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab2728568bf;2015-05-01;Ozono;Suburbana;Juan Carlos I;Norte;83;10;11;21;73.75;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab2728568c8;2015-05-01;Ozono;Urbana de Fondo;Farolillo;Sur;67;41;46;87;64.66666667;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab2728568ce;2015-06-01;Ozono;Suburbana;Casa de Campo;Oeste;90;14;15;29;88.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab2728568d0;2015-06-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;82;171;178;349;79.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab2728568d5;2015-06-01;Ozono;Urbana de Fondo;Ensanche de Vallecas;Este;90;16;17;33;90;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab2728568dc;2015-07-01;Ozono;Suburbana;Casa de Campo;Oeste;84;17;20;37;86;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab2728568de;2015-07-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;78;200;243;443;73.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab2728568f7;2015-09-01;Ozono;Suburbana;Juan Carlos I;Norte;55;8;10;18;55.25;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab2728568f8;2015-09-01;Ozono;Suburbana;Casa de Campo;Oeste;65;12;14;26;65.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856905;2015-10-01;Ozono;Suburbana;Juan Carlos I;Norte;38;10;10;20;33.25;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856908;2015-10-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;32;170;171;341;28.25;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856921;2015-12-01;Ozono;Suburbana;Juan Carlos I;Norte;25;11;12;23;19.25;Muy Bueno;Bueno;Normal
6742081cd13b2ab27285695c;2016-04-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;41;161;177;338;49.75;Muy Bueno;Bueno;Normal
6742081cd13b2ab27285696a;2016-05-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;45;151;172;323;56.25;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856975;2016-06-01;Ozono;Suburbana;Juan Carlos I;Norte;81;8;8;16;72.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856976;2016-06-01;Ozono;Suburbana;Casa de Campo;Oeste;75;12;13;25;76.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856978;2016-06-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;40;154;170;324;57.25;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856983;2016-07-01;Ozono;Suburbana;Juan Carlos I;Norte;90;8;9;17;82.25;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab27285698c;2016-07-01;Ozono;Urbana de Fondo;Farolillo;Sur;83;38;43;81;74.66666667;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856992;2016-08-01;Ozono;Suburbana;Casa de Campo;Oeste;81;12;13;25;83.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab2728569ad;2016-10-01;Ozono;Suburbana;Juan Carlos I;Norte;41;8;9;17;34.75;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728569b0;2016-10-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;31;153;170;323;31.75;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728569c9;2016-12-01;Ozono;Suburbana;Juan Carlos I;Norte;29;10;9;19;22.25;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728569cc;2016-12-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;11;196;186;382;16.25;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728569d2;2016-12-01;Ozono;Urbana de Fondo;Farolillo;Sur;12;46;44;90;14.66666667;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728569da;2017-01-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;20;225;269;494;22.75;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728569e5;2017-02-01;Ozono;Suburbana;Juan Carlos I;Norte;42;10;12;22;38.75;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856a0a;2017-04-01;Ozono;Urbana de Fondo;Farolillo;Sur;66;36;43;79;67.66666667;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856a0f;2017-05-01;Ozono;Suburbana;Juan Carlos I;Norte;70;9;10;19;70.25;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856a10;2017-05-01;Ozono;Suburbana;Casa de Campo;Oeste;80;14;15;29;75.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856a20;2017-06-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;64;161;194;355;64.75;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856a2b;2017-07-01;Ozono;Suburbana;Juan Carlos I;Norte;71;9;10;19;72.75;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856a55;2017-10-01;Ozono;Suburbana;Juan Carlos I;Norte;42;9;10;19;39.25;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856a63;2017-11-01;Ozono;Suburbana;Juan Carlos I;Norte;29;9;10;19;26.25;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856a82;2018-01-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;15;209;260;469;21.75;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856a9b;2018-03-01;Ozono;Suburbana;Juan Carlos I;Norte;63;11;12;23;62.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856ab2;2018-04-01;Ozono;Urbana de Fondo;Farolillo;Sur;62;37;41;78;56.33333333;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856ace;2018-06-01;Ozono;Urbana de Fondo;Farolillo;Sur;67;36;42;78;65.66666667;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856ad3;2018-07-01;Ozono;Suburbana;Juan Carlos I;Norte;84;9;10;19;81.25;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856ad4;2018-07-01;Ozono;Suburbana;Casa de Campo;Oeste;92;14;15;29;89;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856ad6;2018-07-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;72;150;162;312;76.25;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856adc;2018-07-01;Ozono;Urbana de Fondo;Farolillo;Sur;81;34;37;71;78.33333333;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856aea;2018-08-01;Ozono;Urbana de Fondo;Farolillo;Sur;76;36;41;77;69.66666667;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856aef;2018-09-01;Ozono;Suburbana;Juan Carlos I;Norte;67;9;9;18;66.25;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856b0b;2018-11-01;Ozono;Suburbana;Juan Carlos I;Norte;30;10;11;21;29.25;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856b2a;2019-01-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;28;204;237;441;25.25;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856b35;2019-02-01;Ozono;Suburbana;Juan Carlos I;Norte;36;9;11;20;30.75;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856b68;2019-05-01;Ozono;Urbana de Fondo;Farolillo;Sur;84;36;41;77;75.33333333;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856b6d;2019-06-01;Ozono;Suburbana;Juan Carlos I;Norte;81;8;9;17;72.25;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856b70;2019-06-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;65;156;171;327;71.25;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856b76;2019-06-01;Ozono;Urbana de Fondo;Farolillo;Sur;83;36;40;76;74.33333333;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856b7b;2019-07-01;Ozono;Suburbana;Juan Carlos I;Norte;92;8;10;18;80.75;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856b9a;2019-09-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;48;138;152;290;52.75;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856bf4;2020-03-01;Ozono;Urbana de Fondo;Farolillo;Sur;57;175;163;338;53.66666667;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856bf9;2020-04-01;Ozono;Suburbana;Juan Carlos I;Norte;59;39;47;86;63.25;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856c23;2020-07-01;Ozono;Suburbana;Juan Carlos I;Norte;78;12;15;27;80.25;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856c2c;2020-07-01;Ozono;Urbana de Fondo;Farolillo;Sur;84;47;57;104;73.33333333;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856c31;2020-08-01;Ozono;Suburbana;Juan Carlos I;Norte;66;13;15;28;70.75;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856c32;2020-08-01;Ozono;Suburbana;Casa de Campo;Oeste;65;17;20;37;66.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856c50;2020-10-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;43;283;284;567;41.75;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856cb0;2021-05-01;Ozono;Suburbana;Casa de Campo;Oeste;75;10;12;22;68.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856cc6;2021-06-01;Ozono;Urbana de Fondo;Farolillo;Sur;75;29;35;64;48.33333333;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856ccb;2021-07-01;Ozono;Suburbana;Juan Carlos I;Norte;78;9;10;19;78.75;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856ccc;2021-07-01;Ozono;Suburbana;Casa de Campo;Oeste;77;14;17;31;77.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856cd9;2021-08-01;Ozono;Suburbana;Juan Carlos I;Norte;75;6;8;14;77.25;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856cdc;2021-08-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;74;120;156;276;73.25;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856ce7;2021-09-01;Ozono;Suburbana;Juan Carlos I;Norte;50;6;6;12;54.75;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856cf5;2021-10-01;Ozono;Suburbana;Juan Carlos I;Norte;41;6;7;13;42.25;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856cf8;2021-10-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;50;117;130;247;42.75;Muy Bueno;Bueno;Normal
