Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
2010-07-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Barajas Pueblo;47
2010-07-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Sanchinarro;31
2010-07-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Tres Olivos;35
2010-07-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Urbanización Embajada;42
2010-07-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Ensanche de Vallecas;36
2010-07-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Vallecas;41
2010-07-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Farolillo;36
2010-07-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Villaverde;44
2010-07-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Barrio del Pilar;43
2010-07-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Castellana;44
2010-07-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;54
2010-07-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;66
2010-07-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de Castilla;50
2010-07-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de España;49
2010-07-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;51
2010-07-01;Dióxido de nitrógeno;Urbana de Tráfico;Sureste;Moratalaz;38
2010-07-01;Dióxido de nitrógeno;Urbana de Tráfico;Suroeste;Plaza Elíptica;64
2010-08-01;Dióxido de nitrógeno;Suburbana;Noreste;Juan Carlos I;22
2010-08-01;Dióxido de nitrógeno;Suburbana;Noroeste;Casa de Campo;21
2010-08-01;Dióxido de nitrógeno;Suburbana;Noroeste;El Pardo;19
2010-08-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Méndez Álvaro;39
2010-08-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Plaza del Carmen;44
2010-08-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Retiro;30
2010-08-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Arturo Soria;26
2010-08-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Barajas Pueblo;34
2010-08-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Sanchinarro;29
2010-08-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Tres Olivos;32
2010-08-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Urbanización Embajada;34
2010-08-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Ensanche de Vallecas;32
2010-08-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Vallecas;35
2010-08-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Farolillo;30
2010-08-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Villaverde;32
2010-08-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Barrio del Pilar;38
2010-08-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Castellana;36
2010-08-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;42
2010-08-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;54
2010-08-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de Castilla;46
2010-08-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de España;40
2010-08-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;41
2010-08-01;Dióxido de nitrógeno;Urbana de Tráfico;Sureste;Moratalaz;35
2010-08-01;Dióxido de nitrógeno;Urbana de Tráfico;Suroeste;Plaza Elíptica;59
2010-09-01;Dióxido de nitrógeno;Suburbana;Noreste;Juan Carlos I;29
2010-09-01;Dióxido de nitrógeno;Suburbana;Noroeste;Casa de Campo;31
2010-09-01;Dióxido de nitrógeno;Suburbana;Noroeste;El Pardo;24
2010-09-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Méndez Álvaro;53
2010-09-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Plaza del Carmen;54
2010-09-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Retiro;40
2010-09-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Arturo Soria;59
2010-09-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Barajas Pueblo;45
2010-09-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Sanchinarro;42
2010-09-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Tres Olivos;43
2010-09-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Urbanización Embajada;50
2010-09-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Ensanche de Vallecas;43
2010-09-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Vallecas;47
2010-09-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Farolillo;42
2010-09-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Villaverde;
2010-09-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Barrio del Pilar;53
2010-09-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Castellana;53
2010-09-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;63
2010-09-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;60
2010-09-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de Castilla;58
2010-09-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de España;52
2010-09-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;62
2010-09-01;Dióxido de nitrógeno;Urbana de Tráfico;Sureste;Moratalaz;49
2010-09-01;Dióxido de nitrógeno;Urbana de Tráfico;Suroeste;Plaza Elíptica;66
2010-10-01;Dióxido de nitrógeno;Suburbana;Noreste;Juan Carlos I;35
2010-10-01;Dióxido de nitrógeno;Suburbana;Noroeste;Casa de Campo;43
2010-10-01;Dióxido de nitrógeno;Suburbana;Noroeste;El Pardo;30
2010-10-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Méndez Álvaro;64
2010-10-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Plaza del Carmen;62
2010-10-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Retiro;51
2010-10-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Arturo Soria;59
2010-10-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Barajas Pueblo;56
2010-10-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Sanchinarro;55
2010-10-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Tres Olivos;54
2010-10-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Urbanización Embajada;59
2010-10-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Ensanche de Vallecas;58
2010-10-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Vallecas;63
2010-10-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Farolillo;53
2010-10-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Villaverde;
2010-10-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Barrio del Pilar;64
2010-10-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Castellana;62
2010-10-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;73
2010-10-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;85
2010-10-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de Castilla;63
2010-10-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de España;59
2010-10-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;74
2010-10-01;Dióxido de nitrógeno;Urbana de Tráfico;Sureste;Moratalaz;60
2010-10-01;Dióxido de nitrógeno;Urbana de Tráfico;Suroeste;Plaza Elíptica;75
2010-11-01;Dióxido de nitrógeno;Suburbana;Noreste;Juan Carlos I;34
2010-11-01;Dióxido de nitrógeno;Suburbana;Noroeste;Casa de Campo;34
2010-11-01;Dióxido de nitrógeno;Suburbana;Noroeste;El Pardo;25
2010-11-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Méndez Álvaro;55
2010-11-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Plaza del Carmen;56
2010-11-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Retiro;46
2010-11-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Arturo Soria;55
2010-11-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Barajas Pueblo;52
2010-11-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Sanchinarro;54
2010-11-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Tres Olivos;49
2010-11-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Urbanización Embajada;55
2010-11-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Ensanche de Vallecas;54
2010-11-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Vallecas;58
2010-11-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Farolillo;50
2010-11-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Villaverde;57
2010-11-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Barrio del Pilar;56
2010-11-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Castellana;55
2010-11-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;68
2010-11-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;65
2010-11-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de Castilla;59
2010-11-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de España;52
2010-11-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;66
2010-11-01;Dióxido de nitrógeno;Urbana de Tráfico;Sureste;Moratalaz;55
2010-11-01;Dióxido de nitrógeno;Urbana de Tráfico;Suroeste;Plaza Elíptica;70
2010-12-01;Dióxido de nitrógeno;Suburbana;Noreste;Juan Carlos I;35
2010-12-01;Dióxido de nitrógeno;Suburbana;Noroeste;Casa de Campo;44
2010-12-01;Dióxido de nitrógeno;Suburbana;Noroeste;El Pardo;30
2010-12-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Méndez Álvaro;63
2010-12-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Plaza del Carmen;66
2010-12-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Retiro;53
2010-12-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Arturo Soria;61
2010-12-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Barajas Pueblo;55
2010-12-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Sanchinarro;61
2010-12-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Tres Olivos;57
2010-12-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Urbanización Embajada;61
2010-12-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Ensanche de Vallecas;53
2010-12-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Vallecas;63
2010-12-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Farolillo;56
2010-12-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Villaverde;68
2010-12-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Barrio del Pilar;59
2010-12-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Castellana;57
2010-12-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;74
2010-12-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;65
2010-12-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de Castilla;61
2010-12-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de España;56
2010-12-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;70
2010-12-01;Dióxido de nitrógeno;Urbana de Tráfico;Sureste;Moratalaz;60
2010-12-01;Dióxido de nitrógeno;Urbana de Tráfico;Suroeste;Plaza Elíptica;76
2011-01-01;Dióxido de nitrógeno;Suburbana;Noreste;Juan Carlos I;35
2011-01-01;Dióxido de nitrógeno;Suburbana;Noroeste;Casa de Campo;42
2011-01-01;Dióxido de nitrógeno;Suburbana;Noroeste;El Pardo;27
2011-01-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Méndez Álvaro;57
2011-01-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Plaza del Carmen;60
2011-01-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Retiro;48
2011-01-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Arturo Soria;57
2011-01-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Barajas Pueblo;55
2011-01-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Sanchinarro;54
2011-01-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Tres Olivos;55
2011-01-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Urbanización Embajada;59
2011-01-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Ensanche de Vallecas;55
